Type,CP1,CP2,CP3,CP4
1,-1.40,0.65,-0.58,-0.20
1,-0.19,0.58,-0.53,-0.28
1,-0.03,0.43,-0.85,-0.33
1,-0.54,0.69,-0.67,0.20
1,-0.46,0.73,-0.80,0.22
2,0.48,0.39,1.00,-1.29
2,-0.12,1.55,2.92,0.31
2,0.05,0.73,-0.95,0.13
2,0.08,0.63,-0.79,-0.09
2,0.08,0.76,-0.94,0.19
3,-1.07,0.36,-0.61,-0.16
3,-0.45,0.61,-0.59,0.10
3,-0.27,0.90,0.37,0.23
3,-0.77,0.55,-1.10,0.66
3,0.36,0.90,1.04,0.01
5,5.08,-1.55,0.25,0.82
5,-0.24,-0.41,-0.11,-0.02
5,-1.37,-0.40,-0.39,0.82
5,-1.34,-0.30,-0.65,1.21
5,-0.81,-1.41,0.37,0.12
6,-0.73,-0.61,0.07,-0.84
6,-0.13,-2.03,0.90,-1.40
6,-1.27,-0.44,0.01,-0.37
6,-0.43,-0.71,0.24,-1.15
6,-0.43,-0.72,0.01,-0.98
7,2.75,0.47,-0.49,1.58
7,3.12,-0.42,0.05,1.11
7,-0.73,0.55,-0.25,0.18
7,0.27,-0.40,1.38,-1.25
7,0.52,-2.08,1.69,0.47
